"itemid","sellerid","categoryid","itemname","startingprice","startdate","enddate","status"
1,2,1,"Vintage Painting","150.00","2024-06-01","2024-06-15","Active"
2,4,2,"Antique Vase","300.00","2024-06-05","2024-06-20","Sold"
3,6,3,"Rare Book","50.00","2024-06-10","2024-06-25","Expired"
4,8,4,"Classic Car Model","5000.00","2024-06-12","2024-06-27","Active"
5,10,5,"Designer Handbag","200.00","2024-06-15","2024-06-30","Sold"
6,12,6,"Gold Coin","1000.00","2024-06-18","2024-07-03","Active"
7,14,7,"Gaming Laptop","1200.00","2024-06-20","2024-07-05","Expired"
8,16,8,"Smartphone","800.00","2024-06-25","2024-07-10","Active"
9,18,9,"Handmade Quilt","100.00","2024-06-28","2024-07-13","Sold"
10,20,10,"Collectible Doll","250.00","2024-07-01","2024-07-16","Expired"
11,22,11,"Blu-ray Movie Collection","80.00","2024-07-03","2024-07-18","Active"
12,24,12,"Signed Movie Poster","150.00","2024-07-05","2024-07-20","Sold"
13,26,13,"Skincare Set","60.00","2024-07-08","2024-07-23","Expired"
14,28,14,"Garden Tools Set","40.00","2024-07-10","2024-07-25","Active"
15,30,15,"Diamond Necklace","3000.00","2024-07-12","2024-07-27","Sold"
16,32,16,"Vinyl Record Collection","200.00","2024-07-15","2024-07-30","Expired"
17,34,17,"Electric Guitar","500.00","2024-07-18","2024-08-02","Active"
18,36,18,"Pet Bed","30.00","2024-07-20","2024-08-04","Sold"
19,38,19,"Ceramic Bowl Set","80.00","2024-07-22","2024-08-06","Expired"
20,40,20,"Beachfront Property","250000.00","2024-07-25","2024-08-09","Active"
21,2,21,"Event Planning Service","500.00","2024-07-28","2024-08-12","Sold"
22,4,22,"Tennis Racket","70.00","2024-07-30","2024-08-14","Expired"
23,6,23,"Baseball Card","150.00","2024-08-01","2024-08-16","Active"
24,8,24,"Rare Stamp","1000.00","2024-08-03","2024-08-18","Sold"
25,10,25,"Concert Tickets","300.00","2024-08-05","2024-08-20","Expired"
26,12,26,"Vintage Toy Car","75.00","2024-08-07","2024-08-22","Active"
27,14,27,"Travel Voucher","1000.00","2024-08-10","2024-08-25","Sold"
28,16,28,"Video Game Console","400.00","2024-08-12","2024-08-27","Expired"
29,18,29,"Retro Sunglasses","50.00","2024-08-15","2024-08-30","Active"
30,12,1,"Vintage Plantbox","150.00","2024-06-01","2024-06-15","Active"
31,14,1,"Antique Clock","500.00","2024-08-17","2024-09-01","Active"
32,16,2,"Vintage Wine Bottle","250.00","2024-08-19","2024-09-03","Sold"
33,18,3,"First Edition Comic Book","200.00","2024-08-21","2024-09-05","Expired"
34,20,4,"Classic Motorcycle","10000.00","2024-08-23","2024-09-07","Active"
35,22,5,"Designer Shoes","300.00","2024-08-25","2024-09-09","Sold"
36,24,6,"Silver Bar","1200.00","2024-08-27","2024-09-11","Active"
37,26,7,"High-End Desktop PC","1500.00","2024-08-29","2024-09-13","Expired"
38,28,8,"Smartwatch","250.00","2024-08-31","2024-09-15","Active"
39,30,9,"Handmade Jewelry Box","120.00","2024-09-02","2024-09-17","Sold"
40,32,10,"Action Figure Collection","400.00","2024-09-04","2024-09-19","Expired"
41,34,11,"Vintage Movie Poster","300.00","2024-09-06","2024-09-21","Active"
42,36,12,"Signed Memorabilia","800.00","2024-09-08","2024-09-23","Sold"
43,38,13,"Luxury Perfume Set","150.00","2024-09-10","2024-09-25","Expired"
44,40,14,"Outdoor Patio Set","500.00","2024-09-12","2024-09-27","Active"
45,2,15,"Pearl Earrings","1000.00","2024-09-14","2024-09-29","Sold"
46,4,16,"Vintage Vinyl","200.00","2024-09-16","2024-10-01","Expired"
47,6,17,"Acoustic Guitar","600.00","2024-09-18","2024-10-03","Active"
48,8,18,"Pet Carrier","40.00","2024-09-20","2024-10-05","Sold"
49,10,19,"Porcelain Figurine","90.00","2024-09-22","2024-10-07","Expired"
50,12,20,"Lakefront Property","300000.00","2024-09-24","2024-10-09","Active"
