"paymentid","userid","itemid","amount","paymentdate"
1,1,2,"150.00","2024-01-16"
2,5,5,"200.00","2024-02-11"
3,9,8,"80.00","2024-03-06"
4,13,12,"60.00","2024-03-19"
5,17,14,"40.00","2024-04-07"
6,21,17,"500.00","2024-04-22"
7,25,20,"1000.00","2024-05-05"
8,29,23,"70.00","2024-05-18"
9,33,25,"150.00","2024-06-01"
10,37,28,"400.00","2024-06-14"
11,2,4,"300.00","2024-06-26"
12,6,6,"1000.00","2024-07-09"
13,10,10,"250.00","2024-07-21"
14,14,15,"3000.00","2024-08-03"
15,18,18,"30.00","2024-08-16"
16,22,21,"500.00","2024-08-29"
17,26,24,"1000.00","2024-09-11"
18,30,27,"75.00","2024-09-24"
19,3,1,"220.00","2024-10-07"
20,7,3,"55.00","2024-10-20"
21,11,7,"1200.00","2024-11-02"
22,15,11,"80.00","2024-11-15"
23,19,13,"60.00","2024-11-28"
24,23,16,"40.00","2024-12-11"
25,27,19,"100.00","2024-12-24"
26,31,22,"150.00","2025-01-06"
27,35,26,"300.00","2025-01-19"
28,4,29,"500.00","2025-02-01"
29,8,30,"1000.00","2025-02-14"
30,12,5,"70.00","2025-02-27"
